ticket_id,created_date,issue_description,product_area,tags,resolution,resolution_time_hrs,agent_name,customer_tier
TKT-1029,28-03-2023,We invited several team members during onboarding but none of them received the invitation email. The addresses are valid and not blocked internally. We also checked spam folders without success.,Onboarding & Setup,"workspace setup, user invite, onboarding",We traced the invitation delivery issue to your company's email security gateway blocking automated onboarding messages. We resent the invitations from a verified fallback domain and confirmed successful delivery. Please whitelist notifications@nexasupport.io in your mail policy settings. Newly invited users should now receive activation emails normally.,15,Liam Brooks,Starter
TKT-1030,08-11-2023,We invited several team members during onboarding but none of them received the invitation email. The addresses are valid and not blocked internally. We also checked spam folders without success.,Onboarding & Setup,"domain verification, DNS, email setup",The blank page after password creation was linked to an outdated redirect configuration in your workspace template. We updated the post-login redirect URL and cleared the affected onboarding sessions. Newly invited users can now complete first-time login without interruption. Existing accounts were not impacted by this issue.,18,James Wilson,Starter
TKT-1031,28-09-2022,Microsoft Teams notifications fail with a permissions error after reauthorizing the integration. The integration status page still shows connected. We need help identifying which permission scope is missing.,Integrations,"HubSpot sync, OAuth, data mismatch",The Microsoft Teams integration was missing the ChannelMessage.Send permission after reauthorization. We updated the app registration in Azure and validated the new permission scope through the integration health check. Notifications resumed immediately after the tenant consent was approved. We also documented the required scopes in your workspace notes.,16,James Wilson,Growth
TKT-1032,25-01-2023,Our Salesforce integration stopped syncing new leads after the latest API version update. Historical records are still visible. The sync logs show repeated field mapping validation failures.,Integrations,"HubSpot sync, OAuth, data mismatch","We identified that Salesforce API version 61 deprecated the LeadSource mapping field used in your sync configuration. The field mapping was updated under Integrations > Salesforce > Field Mapping. After re-running the sync job, new leads processed successfully. We also enabled schema validation alerts for future API version changes.",23,Olivia Garcia,Growth
TKT-1033,14-08-2024,Our Salesforce integration stopped syncing new leads after the latest API version update. Historical records are still visible. The sync logs show repeated field mapping validation failures.,Integrations,"Salesforce sync, webhook, CRM","We identified that Salesforce API version 61 deprecated the LeadSource mapping field used in your sync configuration. The field mapping was updated under Integrations > Salesforce > Field Mapping. After re-running the sync job, new leads processed successfully. We also enabled schema validation alerts for future API version changes.",26,Noah Kim,Starter
TKT-1034,25-05-2023,Slack notifications for support ticket updates are delayed by more than 30 minutes. The webhook test message works instantly from the settings page. Only automated workflow alerts are delayed.,Integrations,"Teams integration, webhook, permissions",The delayed Slack notifications were caused by a backlog in the workflow event queue tied to your automation rules. We restarted the queue processor and optimized the webhook retry interval. Notifications are now being delivered within normal latency ranges. You can monitor webhook health under Integrations > Slack > Diagnostics.,29,Sophia Nguyen,Growth
TKT-1035,11-01-2023,The Zapier automation duplicates records whenever a customer updates their email address. We verified that deduplication is enabled in Zapier. This is creating incorrect CRM entries.,Integrations,"Slack integration, notifications, API","The missing HubSpot company association data was due to the integration lacking the crm.objects.companies.read OAuth scope. We updated the permission scopes and asked your admin to reauthorize the connection. After the refresh token regenerated, company_id values synced correctly. Historical contacts were backfilled successfully.",5,James Wilson,Enterprise
TKT-1036,20-07-2022,Our Salesforce integration stopped syncing new leads after the latest API version update. Historical records are still visible. The sync logs show repeated field mapping validation failures.,Integrations,"Salesforce sync, webhook, CRM",The Microsoft Teams integration was missing the ChannelMessage.Send permission after reauthorization. We updated the app registration in Azure and validated the new permission scope through the integration health check. Notifications resumed immediately after the tenant consent was approved. We also documented the required scopes in your workspace notes.,6,Ethan Rivera,Starter
TKT-1037,12-04-2024,"HubSpot contacts are syncing without company association data. The OAuth connection appears healthy. However, the company_id field is always returned as null in sync logs.",Integrations,"Slack integration, notifications, API","The missing HubSpot company association data was due to the integration lacking the crm.objects.companies.read OAuth scope. We updated the permission scopes and asked your admin to reauthorize the connection. After the refresh token regenerated, company_id values synced correctly. Historical contacts were backfilled successfully.",26,Ava Patel,Starter
TKT-1038,16-02-2024,Our Salesforce integration stopped syncing new leads after the latest API version update. Historical records are still visible. The sync logs show repeated field mapping validation failures.,Integrations,"Zapier workflow, automation, field mapping","The missing HubSpot company association data was due to the integration lacking the crm.objects.companies.read OAuth scope. We updated the permission scopes and asked your admin to reauthorize the connection. After the refresh token regenerated, company_id values synced correctly. Historical contacts were backfilled successfully.",30,Mia Thompson,Growth
TKT-1039,23-09-2024,Slack notifications for support ticket updates are delayed by more than 30 minutes. The webhook test message works instantly from the settings page. Only automated workflow alerts are delayed.,Integrations,"Zapier workflow, automation, field mapping",The delayed Slack notifications were caused by a backlog in the workflow event queue tied to your automation rules. We restarted the queue processor and optimized the webhook retry interval. Notifications are now being delivered within normal latency ranges. You can monitor webhook health under Integrations > Slack > Diagnostics.,14,Ava Patel,Enterprise
TKT-1040,05-05-2022,The Zapier automation duplicates records whenever a customer updates their email address. We verified that deduplication is enabled in Zapier. This is creating incorrect CRM entries.,Integrations,"Salesforce sync, webhook, CRM","We identified that Salesforce API version 61 deprecated the LeadSource mapping field used in your sync configuration. The field mapping was updated under Integrations > Salesforce > Field Mapping. After re-running the sync job, new leads processed successfully. We also enabled schema validation alerts for future API version changes.",38,James Wilson,Enterprise
